team,attack_strength,defense_strength,weighted_games
Réunion,0.85,1.15,1.6
Mayotte,0.85,1.15,1.0
Luhansk PR,0.85,1.15,0.1
Eritrea,0.85,1.15,0.2
West Papua,0.85,1.15,0.2
East Turkestan,0.85,1.15,1.9
Cook Islands,0.85,1.15,3.4
Elba Island,0.85,1.15,0.3
Yoruba Nation,0.85,1.15,0.4
Biafra,0.85,1.15,0.6
Mapuche,0.85,1.15,0.4
Maule Sur,0.85,1.15,0.4
Aymara,0.85,1.15,0.4
Ticino,0.85,1.15,0.5
Two Sicilies,0.85,1.15,0.6
Åland Islands,0.85,1.15,1.2
Isle of Wight,0.85,1.15,1.2
Falkland Islands,0.85,1.15,1.2
Greenland,0.85,1.15,1.2
Gozo,0.85,1.15,2.9
Menorca,0.85,1.15,1.2
Frøya,0.85,1.15,3.2
Hmong,0.85,1.15,0.9
Galicia,0.85,1.15,0.3
Zanzibar,0.85,1.15,1.9
Marshall Islands,0.85,1.15,1.2
Finland,0.803,1.088,25.1
British Virgin Islands,0.952,1.295,17.7
Tanzania,0.577,0.79,25.0
Benin,0.688,0.953,24.0
Zimbabwe,0.637,0.889,21.6
Mozambique,0.8,1.116,26.3
Vanuatu,1.07,1.505,11.6
Montenegro,0.811,1.144,23.3
Cambodia,0.962,1.363,14.1
Saint Kitts and Nevis,1.07,1.536,22.0
Faroe Islands,0.671,0.98,23.4
North Korea,0.851,1.244,10.8
Sint Maarten,1.099,1.619,15.5
Liberia,0.715,1.068,18.2
Bermuda,1.162,1.742,21.8
Ethiopia,0.668,1.017,17.5
Barbados,1.157,1.777,20.4
India,0.568,0.876,20.2
Belarus,0.753,1.182,22.9
Bonaire,0.886,1.392,15.2
Peru,0.549,0.879,25.9
Bulgaria,0.783,1.273,23.8
Namibia,0.564,0.921,20.9
Samoa,1.173,1.926,6.4
Kazakhstan,0.726,1.204,24.3
Martinique,0.642,1.077,16.2
Burundi,0.681,1.159,15.0
Guinea-Bissau,0.584,1.007,19.4
Grenada,0.874,1.515,19.4
Saint Lucia,0.862,1.522,16.4
Mauritania,0.489,0.876,24.3
Bangladesh,0.632,1.15,18.0
Central African Republic,0.777,1.425,16.2
Cyprus,0.745,1.41,23.5
United States Virgin Islands,0.865,1.651,12.4
Mauritius,0.538,1.037,13.8
Dominica,0.735,1.431,17.6
Montserrat,0.699,1.404,13.5
Botswana,0.531,1.072,21.2
Sudan,0.454,0.917,25.4
Sri Lanka,0.558,1.133,13.1
Latvia,0.566,1.151,23.3
Cayman Islands,0.723,1.477,17.6
Azerbaijan,0.671,1.385,23.2
Eswatini,0.573,1.198,17.2
Estonia,0.641,1.351,25.7
Lesotho,0.498,1.055,19.0
Guam,0.947,2.158,7.2
Luxembourg,0.506,1.162,22.0
Taiwan,0.816,1.886,12.2
Bolivia,0.629,1.459,27.5
Armenia,0.708,1.65,22.7
Myanmar,0.829,1.934,17.8
Maldives,0.558,1.347,13.5
Malta,0.573,1.391,21.2
Lithuania,0.503,1.232,24.6
Congo,0.572,1.425,11.3
Turks and Caicos Islands,0.759,1.89,10.8
Moldova,0.612,1.614,23.3
Afghanistan,0.426,1.139,12.9
Nepal,0.475,1.312,16.2
Laos,0.627,1.892,10.8
Pakistan,0.476,1.439,11.8
Antigua and Barbuda,0.552,1.677,16.4
South Sudan,0.424,1.295,15.3
Chad,0.42,1.317,13.7
Bahamas,0.727,2.451,16.4
Gibraltar,0.494,1.927,22.3
Brunei,0.533,2.107,10.9
Timor-Leste,0.52,2.099,10.6
Mongolia,0.401,1.683,8.2
Andorra,0.292,1.234,23.9
São Tomé and Príncipe,0.44,1.924,10.3
Djibouti,0.447,2.028,10.8
Somalia,0.282,1.34,9.6
Anguilla,0.45,2.155,16.6
Bhutan,0.327,1.985,8.7
Macau,0.264,2.062,5.5
San Marino,0.285,2.264,22.5
Liechtenstein,0.204,1.969,23.0
Seychelles,0.231,2.731,11.7
